merk,merk_rasa,kemasan,sajian,berat,kalori,lemak_total,karbohidrat,protein,lemak_jenuh,lemak_trans,ltj_ganda,ltj_tunggal,kolesterol,serat,gula,sodium,kalium
Indomie,Indomie Goreng Original,bungkus,goreng,80,380,12,52,8,6,0,0,0,0,2,6,680,0
Indomie,Indomie Soto,bungkus,kuah,70,300,10,46,7,5,5,0,0,0,2,4,1470,0
Indomie,Indomie Ayam Bawang,bungkus,kuah,69,300,11,43,7,6,0,0,0,0,2,3,1330,0
Indomie,Indomie Kari Ayam,bungkus,kuah,72,320,12,46,7,5,0,0,0,0,2,4,1350,0
Indomie,Indomie Rendang,bungkus,goreng,91,420,16,59,9,8,0,0,0,0,3,9,1060,0
Indomie,Indomie Goreng Jumbo,bungkus,goreng,129,560,21,81,13,11,0,0,0,0,3,13,1040,0
Indomie,Indomie Aceh,bungkus,goreng,90,430,19,55,9,9,0,0,0,0,6,6,790,0
Indomie,Indomie Ayam Geprek,bungkus,goreng,85,410,20,49,9,9,0,0,0,0,3,6,900,0
Indomie,Indomie Kaldu Ayam,bungkus,kuah,75,340,12,50,6,9,0,0,0,0,4,0,980,0
Indomie,Indomie Soto Spesial,bungkus,kuah,75,330,14,44,7,7,0,0,0,0,5,2,920,0
Indomie,Indomie Ayam Pop,bungkus,goreng,85,380,15,55,7,7,0,0,0,0,4,6,950,0
Indomie,Indomie Soto Banjar Limau,bungkus,kuah,75,340,14,45,7,7,0,0,0,0,8,4,1050,0
Indomie,Indomie Seblak Hot Jeletot,bungkus,kuah,75,360,17,44,7,8,0,0,0,0,3,8,1190,0
Indomie,Indomie Soto Lamongan,bungkus,kuah,80,360,14,7,10,7,0,0,0,0,6,4,1030,0
Indomie,Indomie Soto Medan,bungkus,kuah,70,310,12,42,7,6,0,0,0,0,2,3,1370,0
Indomie,Indomie Ayam Spesial,bungkus,kuah,69,300,10,44,7,5,0,0,0,0,2,3,1180,0
Indomie,Indomie Ayam Panggang Jumbo,bungkus,goreng,127,570,25,75,14,12,0,0,0,0,3,13,1800,0
Indomie,Indomie Kriuk Pedas,bungkus,goreng,90,400,14,60,9,10,0,0,0,0,4,4,1170,0
Indomie,Indomie Goreng Pedas,bungkus,goreng,79,360,13,52,8,8,0,0,0,0,2,7,980,0
Indomie,Indomie Mi Celor,bungkus,kuah,75,320,11,49,6,6,0,0,0,0,2,5,1090,0
Indomie,Indomie Mi Coto Makassar,bungkus,kuah,75,330,13,46,8,6,0,0,0,0,3,4,980,0
Indomie,Indomie Mi Kocok Bandung,bungkus,kuah,75,350,16,44,8,8,0,0,0,0,2,7,1450,0
Indomie,Indomie Sambal Rica-Rica,bungkus,goreng,85,420,22,49,8,10,0,0,0,0,7,3,850,0
Indomie,Indomie Empal Gentong,bungkus,kuah,75,330,12,47,8,6,0,0,0,0,3,5,1550,0
Indomie,Indomie Kebab Rendang,bungkus,goreng,83,370,14,55,6,7,7,0,0,0,3,5,820,0
Indomie,Indomie Mieghetti,bungkus,goreng,85,390,14,57,8,9,0,0,0,0,4,5,940,0
Indomie,Indomie Cabe Ijo,bungkus,goreng,85,420,21,49,8,10,0,0,0,0,7,4,970,0
Indomie,Indomie Kuah Cakalang,bungkus,kuah,75,330,11,49,8,6,0,0,0,0,2,4,1270,0
Indomie,Indomie Tom Yum,bungkus,kuah,85,380,14,55,8,7,0,0,0,0,3,11,960,0
Indomie,Indomie Kaldu Udang,bungkus,kuah,65,280,10,39,6,5,0,0,0,0,2,2,1160,0
Indomie,Indomie Sambal Matah,bungkus,goreng,85,410,20,51,8,9,0,0,0,0,0,2,880,0
Indomie,Indomie Cakalang,bungkus,goreng,82,420,16,60,9,11,0,0,0,0,3,5,1070,0
Indomie,Indomie Tengkleng,bungkus,kuah,75,350,14,45,9,7,0,0,0,0,7,2,860,0
Sedaap,Sedaap Goreng Original,bungkus,goreng,90,400,13,61,10,6,0,0,0,0,7,7,1000,0
Sedaap,Sedaap Ayam Bawang,bungkus,kuah,70,320,14,42,8,5,0,0,0,0,5,2,950,0
Sedaap,Sedaap Soto,bungkus,kuah,75,340,14,46,9,7,0,0,0,0,2,3,1040,0
Sedaap,Sedaap Kari Spesial,bungkus,kuah,76,350,14,47,8,7,0,0,0,0,3,3,1060,0
Sedaap,Sedaap Korean Spicy Chicken,bungkus,goreng,87,390,14,58,8,5,0,0,0,0,4,5,1200,0
Sedaap,Sedaap Singapore Spicy Laksa,bungkus,goreng,83,360,13,55,8,6,0,0,0,0,5,6,930,0
Sedaap,Sedaap Rawit Bingit,cup,goreng,75,360,18,44,6,8,0,0,0,0,5,2,950,0
Sedaap,Sedaap Soto Madura,bungkus,kuah,82,380,16,49,9,7,0,0,0,0,5,2,1050,0
Sedaap,Sedaap Sambal Goreng,bungkus,goreng,88,410,16,56,9,8,0,0,0,0,3,3,1020,0
Sedaap,Sedaap Kari Spesial,bungkus,kuah,76,350,14,47,8,7,8,0,0,0,3,3,1060,0
Sedaap,Sedaap Salero Padang,bungkus,goreng,86,390,15,56,9,5,0,0,0,0,4,5,1170,0
Sedaap,Sedaap Bakso Spesial,bungkus,kuah,77,360,17,42,9,5,0,0,0,0,4,3,940,0
Sedaap,Sedaap Korean Spicy Soup,cup,kuah,75,360,16,45,7,7,0,0,0,0,5,5,1020,0
Sedaap,Sedaap Ayam Bawang Telur,cup,kuah,77,370,18,45,6,8,0,0,0,0,4,2,1010,0
Sedaap,Sedaap Ayam Krispi,bungkus,goreng,88,400,15,58,8,8,0,0,0,0,6,3,930,0
Sedaap,Sedaap Ayam Bakar Limau,bungkus,goreng,89,400,14,61,8,6,2,2,4,0,5,6,1160,0
Sedaap,Sedaap Cup Soto,cup,kuah,81,370,18,45,8,7,0,0,0,0,7,2,1210,0
Sedaap,Sedaap Cup Goreng,cup,goreng,85,410,19,53,7,8,0,0,0,0,7,6,850,0
Sedaap,Sedaap Tasty Beef Yakiniku,bungkus,kuah,115,530,23,69,13,10,0,0,0,0,7,5,1120,0
Sedaap,Sedaap White Curry,bungkus,kuah,81,360,14,50,8,7,0,0,0,0,6,2,990,0
Sarimi,Sarimi Isi 2 Ayam Kecap,bungkus,goreng,126,590,24,81,11,12,0,0,0,0,4,13,1350,0
Sarimi,Sarimi Isi 2 Ayam Kremes,bungkus,goreng,125,580,26,78,10,12,0,0,0,0,8,5,1310,0
Sarimi,Sarimi Ayam Bawang,bungkus,kuah,75,340,15,46,7,8,0,0,0,0,3,2,900,0
Sarimi,Sarimi Isi 2 Soto,bungkus,kuah,113,520,23,68,10,11,0,0,0,0,11,1,1350,0
Sarimi,Sarimi Baso Sapi,bungkus,kuah,77,360,15,49,7,8,0,0,0,0,5,2,990,0
Sarimi,Sarimi Isi 2 Ayam Bawang,bungkus,kuah,115,510,20,70,13,10,0,0,0,0,3,3,1470,0
Sarimi,Sarimi Isi 2 Baso Sapi,bungkus,kuah,115,510,19,74,13,9,0,0,0,0,3,3,1360,0
